,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022
,06,Internal FD&C Recharge Services,"490,000.00","364,699.25","549,739.00","364,699.25","364,699.25",430.00,"1,820.00","3,525.00","4,170.00",500.00,0.00,265.00,700.00,"3,065.00","1,245.00","3,920.00","2,125.00","7,085.00",0.00,"4,590.00","4,783.25","12,096.00","2,602.00","1,650.00","2,910.00","4,269.00","7,245.00","3,668.00","9,430.00","7,750.00","7,022.50","4,722.25","5,895.75","4,184.25","7,185.50","13,574.75","17,410.50","10,993.75","14,729.00","31,121.50","9,378.25","15,090.00","12,902.25","14,344.50",0.00,"7,581.50","28,345.50","16,289.50","13,116.50","11,700.25",0.00,"16,041.00","2,787.00","4,074.00","6,366.00",0.00,0.00
 ,06.601,FD&C Project Administration,"30,000.00","22,764.00","30,000.00","22,764.00","22,764.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,250.00,500.00,0.00,0.00,0.00,250.00,250.00,250.00,250.00,250.00,500.00,500.00,250.00,250.00,500.00,0.00,190.00,0.00,0.00,0.00,"1,250.00",250.00,0.00,750.00,0.00,0.00,760.00,380.00,0.00,0.00,380.00,"4,370.00","3,420.00","2,090.00",0.00,"1,748.00",0.00,"1,672.00","1,254.00",0.00,0.00
 ,06.602,FD&C Project Management,"240,000.00","151,462.50","240,000.00","151,462.50","151,462.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,745.00","3,168.00","6,537.50","4,695.00","3,255.00","1,296.00","1,152.00","1,008.00","3,168.00","6,461.00","9,303.00","5,760.00","8,784.00","16,272.00","6,624.00","8,784.00","7,200.00","7,632.00",0.00,"3,744.00","12,096.00","5,184.00","3,888.00","4,464.00",0.00,"6,737.00","2,133.00","2,054.00","3,318.00",0.00,0.00
 ,06.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"80,000.00","82,831.00","82,831.00","82,831.00","82,831.00",250.00,"1,400.00","3,225.00","3,900.00",500.00,0.00,250.00,700.00,"2,900.00","1,125.00","3,355.00","1,860.00","6,585.00",0.00,"3,960.00","3,980.00","11,090.00","2,100.00","1,400.00","2,660.00","3,830.00",0.00,0.00,925.00,"2,220.00","1,110.00","1,665.00","2,220.00","1,110.00","1,480.00","3,700.00","2,035.00","1,295.00","1,295.00","2,984.00",0.00,0.00,0.00,0.00,0.00,720.00,"3,293.00","1,008.00",701.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.604,FD&C Contracts Office,"20,000.00","16,032.50","20,000.00","16,032.50","16,032.50",60.00,420.00,300.00,270.00,0.00,0.00,15.00,0.00,165.00,120.00,315.00,15.00,0.00,0.00,63.00,47.25,126.00,63.00,0.00,0.00,0.00,0.00,0.00,"1,360.00",520.00,"1,420.00","1,478.75","1,518.75","2,066.25","1,657.50",113.75,211.25,162.50,0.00,195.00,16.25,0.00,0.00,802.50,0.00,357.50,65.00,97.50,162.50,298.75,0.00,"1,297.50",54.00,0.00,198.00,0.00,0.00
 ,06.605,FD&C IOR/Construction Inspection,"20,000.00","76,908.00","76,908.00","76,908.00","76,908.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,250.00,750.00,0.00,750.00,"2,000.00","3,750.00","3,250.00","4,000.00","9,250.00","1,750.00","5,500.00","4,250.00","4,750.00",0.00,"2,500.00","10,750.00","5,500.00","4,750.00","4,750.00",0.00,"6,226.00",276.00,276.00,"1,380.00",0.00,0.00
 ,06.606,Capital Planning/Campus Budget Office,"2,000.00",0.00,"2,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.607,FD&C Project Specialist,"35,000.00","14,701.25","35,000.00","14,701.25","14,701.25",120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00,756.00,630.00,189.00,0.00,0.00,189.00,0.00,0.00,357.50,65.00,487.50,32.50,65.00,0.00,130.00,"1,300.00",861.25,276.25,650.00,"1,670.50",988.00,806.00,692.25,780.00,0.00,260.00,"1,761.50",130.00,195.00,97.50,0.00,32.50,324.00,72.00,216.00,0.00,0.00
 ,06.608,FD&C Fiscal Office,"3,000.00",0.00,"3,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.612,UCSD Sustainablity Initiatives,"10,000.00",0.00,"10,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.699,Other UCSD Employee Recharge Services',"50,000.00",0.00,"50,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,07,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","186,000.00","97,758.59","186,000.00","71,927.59","71,927.59",0.00,975.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,"5,669.50","7,837.90",0.00,0.00,7.40,388.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,454.24",120.20,0.00,7.12,505.92,"2,018.50",333.75,"1,103.75","7,952.00","5,508.00","6,471.00","6,576.50",0.00,"18,315.00","4,194.00",115.00,0.00,0.00,0.00,0.00,"1,360.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.701,Publishing and Advertising Costs,"5,000.00",975.00,"5,000.00",975.00,975.00,0.00,975.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
