 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,8.802,Detailed Project Program (DPP) & Predesign Study Costs,"57,873.29","57,873.29","57,873.29","57,873.29","57,873.29",0,0,0,0,0,0,0,"52,993.78",523.53,0,"2,355.98",0,0,0,0,0,0,0,0,0,0,0,"2,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.803,"Environmental Review Costs, EIR Consultant & Related Costs","49,142.25","49,142.25","49,142.25","49,142.25","49,142.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,475.91","4,738.10","2,216.25",0,0,0,"3,585.99",0,0,0,0,0,0,0,0,0,900,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,426.00",0,0,0,0,0,0,0,0,0,0
 ,8.808,"Plan Check Fees including DSA, SFM, & EH&S Review Charges","37,238.40","37,238.40","37,238.40","37,238.40","37,238.40",0,0,0,0,0,0,285,0,0,0,0,95,0,760,760,0,190,760,0,570,"10,800.00",0,"1,200.00","1,113.00",0,541,"1,333.00",58,0,690,0,432,552,"2,530.00","2,900.50","1,302.00","2,245.50",0,"5,027.40","1,907.00",974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.81,Environmental Mitigation Monitoring Services,"19,317.50","19,317.50","19,317.50","19,317.50","19,317.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,017.00","1,006.50",890,890,890,890,"1,865.00",0,890,"1,865.00","1,865.00",890,"1,455.50","1,151.00","1,586.00",933.5,0,"1,233.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.812,Special Design Consultants (Other),"8,993.89","8,993.89","8,993.89","8,993.89","8,993.89",0,0,0,0,0,0,0,"1,870.46",0,0,"1,705.11","2,918.32","2,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.816,"Interior Designer, Graphic Designer, Color Consultant","2,100.00","2,100.00","2,100.00","2,100.00","2,100.00",0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.817,"Pre-Construction Services/CMAR or CMGC Delivery, Part 1","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.818,"Hazardous Materials Testing, Environmental Soils Sampling",992,992,992,992,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.819,Off-Site Environment Mitigation,"86,250.00","86,250.00","86,250.00","86,250.00","86,250.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"172,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-86,250.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.82,Parking Impact Charges,522,522,522,522,522,0,0,0,0,0,0,0,0,192,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
